1,62.7417,100
2,62.7417,100
3,79.9649,100
4,87.6977,51100
5,91.0369,1200
6,91.0369,1200
7,91.2127,1000
8,91.0369,1000
9,88.0492,31800
10,91.0369,400
11,89.9824,400
12,89.8067,400
13,90.6854,200
14,91.0369,200
15,91.0369,200
16,91.2127,200
17,93.1459,59900
18,93.1459,63100
19,92.6186,49100
20,92.6186,48900
21,92.6186,48800
22,92.6186,48700
23,92.6186,48800
24,92.6186,48900
25,92.6186,48700
26,92.6186,48900
27,92.7944,39600
28,92.7944,39200
29,92.7944,39200
30,92.7944,39000
31,92.7944,39200
32,92.7944,39300
33,92.7944,38500
34,92.7944,39100
35,92.7944,39000
36,92.7944,39300
37,92.7944,39400
38,91.9156,20600
39,91.7399,18500
40,92.7944,21800
41,92.9701,31300
42,93.1459,35400
43,93.1459,35700
44,93.1459,27600
45,93.1459,27000
46,92.7944,23300
47,92.7944,29000
48,92.9701,28700
49,92.9701,28900
50,92.9701,28500
51,92.9701,28500
52,92.9701,28400
53,92.9701,28400
54,92.9701,28400
55,92.9701,28800
56,93.6731,48100
57,93.6731,52500
58,93.6731,53200
59,93.6731,51900
60,93.6731,51900
61,93.6731,47200
62,93.6731,47100
63,93.6731,47000
64,93.6731,53900
65,93.6731,54200
66,93.4974,96200
67,93.3216,90900
68,93.3216,91100
69,93.3216,91100
70,93.3216,91100
71,93.3216,91800
72,93.3216,90600
73,93.3216,91700
74,93.3216,91400
75,93.3216,11100
76,92.9701,26200
77,93.3216,79500
78,93.3216,80400
79,93.3216,80700
80,93.3216,80900
81,93.3216,80800
82,93.3216,80800
83,93.3216,48100
84,93.6731,23700
85,93.6731,27200
86,93.6731,27600
87,93.6731,27800
88,93.6731,27800
89,93.6731,27800
90,93.3216,7600
91,93.1459,7100
92,93.1459,7200
93,93.1459,7100
94,93.1459,7100
95,93.1459,7100
96,93.1459,7100
97,93.1459,7200
98,93.1459,7100
99,93.1459,7100
100,93.1459,7100
101,93.4974,14200
102,93.3216,15600
103,93.4974,21000
104,93.4974,20900
105,93.4974,20000
106,93.3216,19200
107,93.1459,13700
108,93.3216,19500
109,93.1459,13700
110,93.1459,13700
111,93.1459,13700
112,93.1459,13700
113,93.1459,13800
114,92.9701,4500
115,92.9701,5500
116,92.9701,5400
117,93.1459,5400
118,92.9701,5400
119,92.9701,5400
120,92.9701,4600
121,92.9701,4600
122,92.9701,4600
123,92.9701,4600
124,92.9701,4700
125,92.9701,4700
126,92.9701,4600
127,92.9701,4800
128,92.9701,31200
129,92.9701,31100
130,93.6731,12100
131,93.6731,13300
132,93.4974,12600
133,93.6731,13300
134,93.6731,13400
135,93.4974,12700
136,93.4974,13700
137,93.4974,13900
138,93.4974,13900
139,93.4974,13900
140,93.4974,13900
141,93.4974,13900
142,93.4974,13900
143,93.4974,13500
144,93.4974,13600
145,93.4974,13600
146,93.4974,13600
147,93.4974,13500
148,93.4974,13500
149,93.4974,13400
150,93.4974,13500
151,93.4974,12500
152,93.4974,12700
153,93.4974,12700
154,93.4974,12700
155,93.4974,12700
156,93.4974,12700
157,93.4974,12700
158,93.4974,12700
159,93.4974,13800
160,93.4974,14000
161,93.4974,14000
162,93.4974,14000
163,93.4974,14000
164,93.4974,14000
165,93.4974,14700
166,93.4974,14500
167,93.4974,14500
168,93.4974,14500
169,93.4974,14500
170,93.4974,14600
171,93.4974,14600
172,93.4974,14600
173,93.4974,14500
174,93.4974,14600
175,93.4974,14600
176,93.4974,14600
177,93.4974,14600
178,93.4974,14600
179,93.4974,14600
180,93.4974,14600
181,93.4974,14600
182,93.4974,14600
183,93.6731,20500
184,93.6731,20600
185,93.6731,20700
186,93.6731,20700
187,93.6731,20900
188,93.6731,20900
189,93.6731,13700
190,93.6731,13700
191,93.6731,13700
192,93.6731,10800
193,93.6731,10800
194,93.6731,10700
195,93.6731,10700
196,93.4974,10100
197,93.6731,5800
198,93.4974,5800
199,93.1459,11000
200,92.9701,6000
201,93.1459,6200
202,92.9701,6000
203,93.1459,6200
204,93.1459,6200
205,93.6731,8200
206,93.4974,19300
207,93.4974,19900
